iter	Passed	Remaining
0	1	193
1	3	193
2	5	179
3	6	160
4	8	154
5	9	149
6	10	146
7	12	148
8	14	145
9	15	142
10	19	158
11	21	156
12	22	151
13	24	148
14	25	145
15	27	144
16	29	142
17	30	139
18	32	139
19	35	141
20	37	139
21	38	136
22	40	133
23	41	131
24	43	129
25	44	127
26	46	126
27	48	125
28	50	123
29	51	121
30	53	119
31	55	118
32	57	115
33	58	113
34	63	117
35	65	116
36	67	115
37	70	114
38	72	112
39	73	110
40	76	109
41	77	107
42	78	104
43	80	102
44	82	100
45	83	98
46	85	95
47	86	93
48	87	91
49	89	89
50	92	88
51	93	86
52	95	84
53	96	82
54	97	80
55	99	78
56	100	76
57	102	74
58	103	72
59	106	70
60	107	68
61	109	66
62	110	64
63	112	63
64	113	61
65	115	59
66	116	57
67	117	55
68	120	53
69	121	52
70	123	50
71	125	48
72	127	47
73	128	45
74	130	43
75	131	41
76	133	39
77	136	38
78	138	36
79	139	34
80	141	33
81	142	31
82	144	29
83	145	27
84	147	25
85	149	24
86	151	22
87	153	20
88	154	19
89	156	17
90	157	15
91	159	13
92	160	12
93	161	10
94	163	8
95	165	6
96	166	5
97	168	3
98	169	1
99	171	0
